Rank	Mantissa	Log	Amount	Code	Type	Amount	FirstTwo	First	Second		Diffs * 1000	First-Two	
1			-0.64			2.77	$27.00	$2.00	$7.00		200	$20	
2			-0.44			3.01	$30.00	$3.00	$0.00		90	$90	
3			-0.35			1.40	$14.00	$1.00	$4.00		80	$80	
4			-0.27			0.52	$52.00	$5.00	$2.00		30	$30	
5			-0.24			1.32	$13.00	$1.00	$3.00		100	$10	
6			-0.14			1.82	$18.00	$1.00	$8.00		10	$10	
7			-0.13			0.30	$30.00	$3.00	$0.00		20	$20	
8			-0.11			1.98	$19.00	$1.00	$9.00		20	$20	
9			-0.09			1.00	$10.00	$1.00	$0.00		0	$0	
10			-0.09			0.73	$73.00	$7.00	$3.00		30	$30	
11			-0.06			2.75	$27.00	$2.00	$7.00		0	$0	
12			-0.06			0.01	$10.00	$1.00	$0.00		10	$10	
13			-0.05			1.56	$15.00	$1.00	$5.00		10	$10	
14			-0.04			0.42	$42.00	$4.00	$2.00		30	$30	
15			-0.01			2.72	$27.00	$2.00	$7.00		0	$0	
16			-0.01			0.94	$94.00	$9.00	$4.00		10	$10	
17			0.00			2.79	$27.00	$2.00	$7.00		10	$10	
18			0.01			-0.27	$27.00	$2.00	$7.00		10	$10	
19			0.02			1.22	$12.00	$1.00	$2.00		0	$0	
20			0.02			-0.09	$90.00	$9.00	$0.00		10	$10	
21			0.03			0.85	$85.00	$8.00	$5.00		0	$0	
22			0.03			0.33	$33.00	$3.00	$3.00		30	$30	
23			0.06			1.33	$13.00	$1.00	$3.00		0	$0	
24			0.06			1.35	$13.00	$1.00	$3.00		20	$20	
25			0.08			1.36	$13.00	$1.00	$3.00		10	$10	
26			0.09			-0.09	$90.00	$9.00	$0.00		20	$20	
27			0.11			1.86	$18.00	$1.00	$8.00		10	$10	
28			0.12			1.79	$17.00	$1.00	$7.00		10	$10	
29			0.13			-0.01	$10.00	$1.00	$0.00		0	$0	
30			0.13			1.65	$16.00	$1.00	$6.00		10	$10	
31			0.14			0.79	$79.00	$7.00	$9.00		10	$10	
32			0.15			0.02	$20.00	$2.00	$0.00		10	$10	
33			0.16			1.71	$17.00	$1.00	$7.00		0	$0	
34			0.16			0.28	$28.00	$2.00	$8.00		10	$10	
35			0.17			1.71	$17.00	$1.00	$7.00		0	$0	
36			0.17			0.19	$19.00	$1.00	$9.00		10	$10	
37			0.18			0.39	$39.00	$3.00	$9.00		0	$0	
38			0.18			2.11	$21.00	$2.00	$1.00		10	$10	
39			0.19			-0.44	$44.00	$4.00	$4.00		0	$0	
40			0.19			1.45	$14.00	$1.00	$4.00		10	$10	
41			0.20			1.75	$17.00	$1.00	$7.00		0	$0	
42			0.20			0.44	$44.00	$4.00	$4.00		10	$10	
43			0.21			0.23	$23.00	$2.00	$3.00		20	$20	
44			0.23			1.71	$17.00	$1.00	$7.00		0	$0	
45			0.23			0.35	$35.00	$3.00	$5.00		10	$10	
46			0.24			0.75	$75.00	$7.00	$5.00		10	$10	
47			0.25			1.81	$18.00	$1.00	$8.00		10	$10	
48			0.26			-0.64	$64.00	$6.00	$4.00		0	$0	
49			0.26			0.60	$60.00	$6.00	$0.00		10	$10	
50			0.27			0.85	$85.00	$8.00	$5.00		10	$10	
51			0.28			0.69	$69.00	$6.00	$9.00		0	$0	
52			0.28			0.78	$78.00	$7.00	$8.00		10	$10	
53			0.29			1.62	$16.00	$1.00	$6.00		0	$0	
54			0.29			1.65	$16.00	$1.00	$6.00		10	$10	
55			0.30			0.43	$43.00	$4.00	$3.00		10	$10	
56			0.31			1.02	$10.00	$1.00	$0.00		10	$10	
57			0.32			-0.24	$24.00	$2.00	$4.00		10	$10	
58			0.33			1.63	$16.00	$1.00	$6.00		10	$10	
59			0.34			1.53	$15.00	$1.00	$5.00		10	$10	
60			0.35			0.44	$44.00	$4.00	$4.00		10	$10	
61			0.36			1.03	$10.00	$1.00	$0.00		0	$0	
62			0.36			1.42	$14.00	$1.00	$4.00		0	$0	
63			0.36			0.66	$66.00	$6.00	$6.00		0	$0	
64			0.36			1.16	$11.00	$1.00	$1.00		10	$10	
65			0.37			0.57	$57.00	$5.00	$7.00		0	$0	
66			0.37			1.34	$13.00	$1.00	$3.00		10	$10	
67			0.38			0.15	$15.00	$1.00	$5.00		10	$10	
68			0.39			1.86	$18.00	$1.00	$8.00		0	$0	
69			0.39			0.20	$20.00	$2.00	$0.00		20	$20	
70			0.41			1.16	$11.00	$1.00	$1.00		10	$10	
71			0.42			1.03	$10.00	$1.00	$0.00		0	$0	
72			0.42			1.51	$15.00	$1.00	$5.00		10	$10	
73			0.43			0.41	$41.00	$4.00	$1.00		10	$10	
74			0.44			2.38	$23.00	$2.00	$3.00		0	$0	
75			0.44			0.67	$67.00	$6.00	$7.00		0	$0	
76			0.44			0.80	$80.00	$8.00	$0.00		20	$20	
77			0.46			1.10	$11.00	$1.00	$1.00		0	$0	
78			0.46			0.57	$57.00	$5.00	$7.00		0	$0	
79			0.46			1.28	$12.00	$1.00	$2.00		30	$30	
80			0.49			0.68	$68.00	$6.00	$8.00		10	$10	
81			0.50			0.28	$28.00	$2.00	$8.00		10	$10	
82			0.51			2.32	$23.00	$2.00	$3.00		0	$0	
