Rank	Mantissa	Log	Amount	Code	Type	Amount	FirstTwo	First	Second		Diffs * 1000	First-Two	
1			-0.51869			0.00000	$0.00	$0.00	#VALUE!		2279317	$22	
2			-0.49590			-0.00491	$49.00	$4.00	$9.00		2456084	$24	
3			-0.47134			0.01896	$18.00	$1.00	$8.00		2076968	$20	
4			-0.45057			-0.02791	$27.00	$2.00	$7.00		20704459	$20	
5			-0.24352			0.05283	$52.00	$5.00	$2.00		1275409	$12	
6			-0.23077			0.01345	$13.00	$1.00	$3.00		1950163	$19	
7			-0.21127			0.02691	$26.00	$2.00	$6.00		3207235	$32	
8			-0.179195259			-0.03494	$34.00	$3.00	$4.00		80445	$80	
9			-0.17839			-0.02245	$22.00	$2.00	$2.00		667766	$66	
10			-0.17171			0.00444	$44.00	$4.00	$4.00		1347785	$13	
11			-0.15824			-0.00922	$92.00	$9.00	$2.00		786309	$78	
12			-0.15037			-0.00930	$93.00	$9.00	$3.00		946312	$94	
13			-0.14091			-0.01878	$18.00	$1.00	$8.00		850491	$85	
14			-0.13240			-0.01417	$14.00	$1.00	$4.00		754416	$75	
15			-0.12486			0.00000	$0.00	$0.00	#VALUE!		77705	$77	
16			-0.12408			-0.02447	$24.00	$2.00	$4.00		1397545	$13	
17			-0.11011			-0.02468	$24.00	$2.00	$4.00		364389	$36	
18			-0.106463634			0.01020	$10.00	$1.00	$0.00		40303	$40	
19			-0.10606			0.01495	$14.00	$1.00	$4.00		70849	$70	
20			-0.10535			0.00995	$99.00	$9.00	$9.00		235211	$23	
21			-0.10300			-0.01971	$19.00	$1.00	$9.00		120847	$12	
22			-0.10179			0.00000	$0.00	$0.00	#VALUE!		24807	$24	
23			-0.10154			-0.01005	$10.00	$1.00	$0.00		41987	$41	
24			-0.10112			-0.03046	$30.00	$3.00	$0.00		156450	$15	
25			-0.09956			-0.00503	$50.00	$5.00	$0.00		46000	$46	
26			-0.09910			-0.04211	$42.00	$4.00	$2.00		41646	$41	
27			-0.09868			0.05495	$54.00	$5.00	$4.00		166458	$16	
28			-0.09702			-0.00542	$54.00	$5.00	$4.00		442547	$44	
29			-0.09259			0.04189	$41.00	$4.00	$1.00		48733	$48	
30			-0.09211			0.03016	$30.00	$3.00	$0.00		60333	$60	
31			-0.091501936			0.00000	$0.00	$0.00	#VALUE!		57587	$57	
32			-0.09093			-0.00976	$97.00	$9.00	$7.00		193576	$19	
33			-0.08899			0.02483	$24.00	$2.00	$4.00		53655	$53	
34			-0.08845			0.00962	$96.00	$9.00	$6.00		18708	$18	
35			-0.08827			-0.03810	$38.00	$3.00	$8.00		52171	$52	
36			-0.08774			-0.02495	$24.00	$2.00	$4.00		98696	$98	
37			-0.08676			0.00528	$52.00	$5.00	$2.00		21953	$21	
38			-0.08654			0.01010	$10.00	$1.00	$0.00		39319	$39	
39			-0.086145267			-0.00520	$51.00	$5.00	$1.00		83046	$83	
40			-0.08531			0.00523	$52.00	$5.00	$2.00		20842	$20	
41			-0.08511			-0.00520	$51.00	$5.00	$1.00		77549	$77	
42			-0.08433			-0.00483	$48.00	$4.00	$8.00		40698	$40	
